,authorDisplayName,publishedAt,likeCount,viewerRating,totalReplyCount,authorChannelURL,comment
47,Anisa Shahab,2019-08-20T08:45:55.000Z,0,none,0,http://www.youtube.com/channel/UCLiok5kk8kVSCoKTy6qEeUw,Helo
48,Anisa Shahab,2019-08-20T08:45:11.000Z,0,none,0,http://www.youtube.com/channel/UCLiok5kk8kVSCoKTy6qEeUw,Helo
49,Raskreja the cat lover Unicorn,2019-08-13T05:08:49.000Z,1,none,1,http://www.youtube.com/channel/UC789n5HgjsspHEfyg5g-emQ,love you Justin I got a Mac book pro yesterday I love it so much 🤪
50,daredevil Banks,2019-08-08T17:27:36.000Z,0,none,0,http://www.youtube.com/channel/UCWx3mK3qkL8k57p6R_gmzqQ,"Hello
People"
51,Luvlii Blue,2019-08-02T15:41:55.000Z,0,none,0,http://www.youtube.com/channel/UCS7PHZrg7bdcj_6oZV9mo-w,It does turn on by itself.....I had one....
52,Natasha Powe,2019-08-02T15:36:21.000Z,0,none,0,http://www.youtube.com/channel/UCkOXzyY-WXiFWW2npg8j03w,I love watching your channels...
53,Ayden Anderson,2019-07-31T04:04:39.000Z,0,none,0,http://www.youtube.com/channel/UCyqC48IRfEhX2hNZ8NpRP-g,Hello
54,Sksksis,2019-07-30T22:12:58.000Z,0,none,0,http://www.youtube.com/channel/UCT23Cj1BW-id6rQpmzHbXhw,Mm baby lemme slid my cock and make you pregnant
55,Liam Kennedy,2019-07-23T14:55:56.000Z,0,none,0,http://www.youtube.com/channel/UCODIMrOV7Jbso0PZK-N8-NQ,That is cool
56,Liam Kennedy,2019-07-23T14:54:25.000Z,0,none,1,http://www.youtube.com/channel/UCODIMrOV7Jbso0PZK-N8-NQ,How much is a MacBook
57,Mr Drift,2019-07-23T04:51:31.000Z,0,none,0,http://www.youtube.com/channel/UCZ-rZkm5oadosdxWjPnnD2Q,Everyone stop hating on justine because you want a MacBook
58,Ayomide Daniel,2019-07-22T00:15:12.000Z,0,none,0,http://www.youtube.com/channel/UCcx_vdQse_strjUGX4dDSLQ,Can you please show me the touch bar again
59,Ayomide Daniel,2019-07-22T00:14:10.000Z,0,none,0,http://www.youtube.com/channel/UCcx_vdQse_strjUGX4dDSLQ,Does the touch bar have a colour like a back light
60,Attila Fighter,2019-07-21T10:04:36.000Z,0,none,0,http://www.youtube.com/channel/UCQOHdqTNnXODYX7mHqron9Q,Who's watching this only because justice
61,Allana Jaster,2019-07-20T11:54:46.000Z,1,none,1,http://www.youtube.com/channel/UC-fl4falRbjd22aDtgaunIA,Who’s watching in the year 1800? Like what is that thing? Lol 😂
62,Mr President,2019-07-18T08:43:21.000Z,0,none,0,http://www.youtube.com/channel/UCDM6YCCByJ4svMQ6QAhTDeA,The MacBook Pro 💻 is cool and great
63,Janice Hayles,2019-07-18T04:50:38.000Z,0,none,0,http://www.youtube.com/channel/UCOaGYab1L7VXEvV8VA5oS9g,Hey I  installed iPad os 13 beta
64,Airthan Chanthavong,2019-07-14T20:12:47.000Z,0,none,0,http://www.youtube.com/channel/UCFTjxRZ5IqpuDqvBbi56a8g,Boring
65,Maddie,2019-07-12T21:07:56.000Z,3,none,0,http://www.youtube.com/channel/UC0B-Ewa3plSl9dWkWOnGpLw,I’m getting the Gold MacBook Air 2018 from this amazing program. I feel really grateful. 💻 ❤️
66,salman junior,2019-07-10T07:20:17.000Z,0,none,0,http://www.youtube.com/channel/UCHNaFxTAyBPEzI5vboiB0TQ,Apple
67,salman junior,2019-07-10T07:03:57.000Z,0,none,0,http://www.youtube.com/channel/UCHNaFxTAyBPEzI5vboiB0TQ,Woooo
68,Mimi Alzaim,2019-07-09T00:29:16.000Z,0,none,0,http://www.youtube.com/channel/UC9ruBkX5qPLYryqnvzZ_Bzw,I love watching the unboxing MacBook  💻 vids
69,Janne Leivestad Tvedten,2019-07-06T17:31:43.000Z,0,none,0,http://www.youtube.com/channel/UCF4ThHDnmzhWOALmBHl36kA,"Hi ijustine 😊  Which one do you prefer ? Macbook pro in space grey or macbook air in gold? @iJustine  #ijustine 
Fan from Norway 🇳🇴"
70,Hezro Elgroove Hutapea Official,2019-07-06T15:13:10.000Z,0,none,0,http://www.youtube.com/channel/UCkaKX6xl_7OaLPNsYRrZ8Lw,Is that Apple LED Cinema Display?
71,Debbi Alcine,2019-07-05T15:52:44.000Z,0,none,0,http://www.youtube.com/channel/UC_Sggq8-3TimwCfv8aCcQcA,Opening it
72,Debbi Alcine,2019-07-05T15:52:25.000Z,0,none,0,http://www.youtube.com/channel/UC_Sggq8-3TimwCfv8aCcQcA,Yes
73,firdaousse rahmani,2019-07-04T19:17:38.000Z,0,none,0,http://www.youtube.com/channel/UCuuQ_5tiuwPDahRNmmmETrg,How wanna to marry me give a like i am rich
74,Rose Geno,2019-07-01T13:58:45.000Z,0,none,0,http://www.youtube.com/channel/UCAXOuj7k1pzXDiKGkIxg0cA,Hey
75,AnverNyxz,2019-07-01T01:32:12.000Z,3,none,0,http://www.youtube.com/channel/UCvDWIGfLn8omM-PArS2CABw,R.I.P Macbook Pro box
76,Amber Clark,2019-06-30T15:14:33.000Z,0,none,0,http://www.youtube.com/channel/UCk0tQ3S13VRNx8whFFjs2-g,tell apple to get zedge free ring tones then i might consider going back to apple that and they need to go back fix there mistake make a 9 until then im staying team android where i can have all the fun apps i like to do on phone ty smile... cool video this computer looks sounds awsome congrats smile...
77,jayce Taylor,2019-06-29T21:24:51.000Z,0,none,0,http://www.youtube.com/channel/UCig9nO6LhylIRh1wpuWOb3Q,do you skate
78,Terrence Walker,2019-06-26T06:14:22.000Z,0,none,0,http://www.youtube.com/channel/UCTNIAHVUrTyIofDTcJUE2rg,Iphone xr gang anyone btw i have two now bc the one in my profile is my old 6
